name,city,type,beercount,est,status,url
Bull Durham Beer Company,Durham,Microbrewery,7,2015,Active,https://www.ratebeer.com//brewers/bull-durham-beer-company/22859/
Burial Beer Company,Asheville,Microbrewery,279,2013,Active,https://www.ratebeer.com//brewers/burial-beer-company/16816/
Cabarrus Brewing Company,Concord,Microbrewery,23,2016,Active,https://www.ratebeer.com//brewers/cabarrus-brewing-company/27495/
Calaboose Cellars,Andrews,Microbrewery,10,2013,Active,https://www.ratebeer.com//brewers/calaboose-cellars/17168/
Carolina Brewery,Chapel Hill,Brewpub/Brewery,37,2003,Active,https://www.ratebeer.com//brewers/carolina-brewery/3257/
Carolina Brewing Company,Holly Springs,Microbrewery,44,1999,Active,https://www.ratebeer.com//brewers/carolina-brewing-company/569/
Catawba Brewing Company,Morganton,Microbrewery,150,1999,Active,https://www.ratebeer.com//brewers/catawba-brewing-company/2883/
Cavendish Brewing Company,Gastonia,Brewpub/Brewery,11,2017,Active,https://www.ratebeer.com//brewers/cavendish-brewing-company/31054/
Check Six Brewing Company,Southport,Microbrewery,18,2015,Active,https://www.ratebeer.com//brewers/check-six-brewing-company/24806/
Clouds Brewing,Raleigh,Brewpub,11,2016,Active,https://www.ratebeer.com//brewers/clouds-brewing/27068/
Compass Rose Brewery,Raleigh,Microbrewery,22,2015,Active,https://www.ratebeer.com//brewers/compass-rose-brewery/24455/
Crank Arm Brewing,Raleigh ,Brewpub/Brewery,52,2013,Active,https://www.ratebeer.com//brewers/crank-arm-brewing/17319/
Crystal Coast Brewing Company,Morehead City,Microbrewery,3,2017,Active,https://www.ratebeer.com//brewers/crystal-coast-brewing-company/32292/
Currahee Brewing Company,Franklin,Microbrewery,13,2016,Active,https://www.ratebeer.com//brewers/currahee-brewing-company/28083/
D9 Brewing Company,Cornelius,Microbrewery,61,2013,Active,https://www.ratebeer.com//brewers/d9-brewing-company/18422/
Deep River Brewing Co.,Clayton,Microbrewery,45,2013,Active,https://www.ratebeer.com//brewers/deep-river-brewing-co/16571/
Dirtbag Ales,Hope Mills,Microbrewery,5,2014,Active,https://www.ratebeer.com//brewers/dirtbag-ales/21167/
Divine Barrel Brewing,Charlotte,Microbrewery,10,2018,Active,https://www.ratebeer.com//brewers/divine-barrel-brewing/34883/
Double Barley Brewing,Smithfield,Microbrewery,26,2013,Active,https://www.ratebeer.com//brewers/double-barley-brewing/18139/
Dry County Brewing Company,Spruce Pine,Brewpub,14,2012,Active,https://www.ratebeer.com//brewers/dry-county-brewing-company/13937/
Durty Bull Brewing Company,Durham,Microbrewery,19,2016,Active,https://www.ratebeer.com//brewers/durty-bull-brewing-company/28728/
Ecusta Brewing Company,Pisgah Forest,Microbrewery,30,2017,Active,https://www.ratebeer.com//brewers/ecusta-brewing-company/31989/
Eleven Lakes Brewing Company,Cornelius,Microbrewery,19,2017,Active,https://www.ratebeer.com//brewers/eleven-lakes-brewing-company/31246/
Eluvium Brewing Co.,Weaverville,Microbrewery,4,2018,Active,https://www.ratebeer.com//brewers/eluvium-brewing-co/35036/
Eurisko Beer Company,Asheville,Microbrewery,1,2018,Active,https://www.ratebeer.com//brewers/eurisko-beer-company/34932/
Fainting Goat Brewery,Fuqua-Varina,Microbrewery,14,2016,Active,https://www.ratebeer.com//brewers/fainting-goat-brewery/28703/
Fiddlin' Fish Brewing Company,Winston-Salem,Microbrewery,12,2017,Active,https://www.ratebeer.com//brewers/fiddlin-fish-brewing-company/32875/
Flat Top Brewing Company,Banner Elk,Brewpub/Brewery,9,2014,Active,https://www.ratebeer.com//brewers/flat-top-brewing-company/19320/
Flytrap Brewing,Wilmington,Microbrewery,12,2014,Active,https://www.ratebeer.com//brewers/flytrap-brewing/21157/
Fonta Flora Brewery,Morganton,Microbrewery,126,2014,Active,https://www.ratebeer.com//brewers/fonta-flora-brewery/18711/
Foothills Brewing,Winston-Salem,Brewpub/Brewery,130,2005,Active,https://www.ratebeer.com//brewers/foothills-brewing/6033/
Fortnight Brewing Company,Cary,Brewpub/Brewery,28,2014,Active,https://www.ratebeer.com//brewers/fortnight-brewing-company/18773/
Four Saints Brewing Company,Asheboro,Microbrewery,29,2013,Active,https://www.ratebeer.com//brewers/four-saints-brewing-company/17143/
Free Range Brewing,Charlotte,Microbrewery,68,2015,Active,https://www.ratebeer.com//brewers/free-range-brewing/23600/
French Broad Brewing,Asheville,Microbrewery,33,2002,Active,https://www.ratebeer.com//brewers/french-broad-brewing/2879/
Frog Level Brewing Company,Waynesville,Microbrewery,17,2011,Active,https://www.ratebeer.com//brewers/frog-level-brewing-company/13723/
Front Street Brewery (NC),Wilmington,Brewpub,83,1995,Active,https://www.ratebeer.com//brewers/front-street-brewery-nc/3066/
Fullsteam Brewery,Durham,Microbrewery,131,2009,Active,https://www.ratebeer.com//brewers/fullsteam-brewery/10570/
Ghost Harbor Brewing Company,Elizabeth City,Microbrewery,11,2018,Active,https://www.ratebeer.com//brewers/ghost-harbor-brewing-company/35092/
Ghostface Brewing,Mooresville,Brewpub/Brewery,35,2016,Active,https://www.ratebeer.com//brewers/ghostface-brewing/26935/
Gibb's Hundred Brewing,Greensboro,Brewpub/Brewery,24,2014,Active,https://www.ratebeer.com//brewers/gibbs-hundred-brewing/21544/
Ginger's Revenge,Asheville ,Commercial Brewery,5,2017,Active,https://www.ratebeer.com//brewers/gingers-revenge/31224/
Gizmo Brew Works,Raleigh,Microbrewery,47,2010,Active,https://www.ratebeer.com//brewers/gizmo-brew-works/11991/
Good Hops Brewing,Carolina Beach,Microbrewery,16,2014,Active,https://www.ratebeer.com//brewers/good-hops-brewing/20276/
Good Vibes Brewing,"Carolina Beach, Wilmington",Microbrewery,1,2011,Active,https://www.ratebeer.com//brewers/good-vibes-brewing/12565/
Granite Falls Brewing Company,Granite Falls,Brewpub/Brewery,37,2014,Active,https://www.ratebeer.com//brewers/granite-falls-brewing-company/19187/
Green Man Brewery,Asheville,Microbrewery,149,2004,Active,https://www.ratebeer.com//brewers/green-man-brewery/4476/
Habitat Brewing Co.,Asheville,Microbrewery,6,2017,Active,https://www.ratebeer.com//brewers/habitat-brewing-co/31312/
Haw River Farmhouse Ales,Saxapahaw,Microbrewery,92,2014,Active,https://www.ratebeer.com//brewers/haw-river-farmhouse-ales/18655/
Heist Brewery,Charlotte,Brewpub/Brewery,165,2012,Active,https://www.ratebeer.com//brewers/heist-brewery/15791/
Hickory Nut Gorge Brewery,Chimney Rock,Microbrewery,2,2016,Active,https://www.ratebeer.com//brewers/hickory-nut-gorge-brewery/28481/
High Branch Brewing Company,Concord,Microbrewery,30,2015,Active,https://www.ratebeer.com//brewers/high-branch-brewing-company/25212/
Highland Brewing Company,Asheville,Microbrewery,123,1994,Active,https://www.ratebeer.com//brewers/highland-brewing-company/1264/
Hillman Beer,Asheville,Commercial Brewery,18,2017,Active,https://www.ratebeer.com//brewers/hillman-beer/31098/
Hi-Wire Brewing,Asheville,Microbrewery,113,2013,Active,https://www.ratebeer.com//brewers/hi-wire-brewing/16850/
Homeplace Beer Company,Burnsville,Microbrewery,6,2017,Active,https://www.ratebeer.com//brewers/homeplace-beer-company/32825/
Hoots Roller Bar & Beer Company,Winston-Salem,Brewpub,23,2014,Active,https://www.ratebeer.com//brewers/hoots-roller-bar-beer-company/19119/
Hoppy Trout Brewing Company,Andrews,Brewpub,1,2016,Active,https://www.ratebeer.com//brewers/hoppy-trout-brewing-company/25777/
Howard Brewing Company,Lenoir,Microbrewery,11,2012,Active,https://www.ratebeer.com//brewers/howard-brewing-company/15125/
Hugger Mugger Brewing Company,Sanford,Brewpub,13,2018,Active,https://www.ratebeer.com//brewers/hugger-mugger-brewing-company/35064/
Huske Hardware House,Fayetteville,Brewpub,33,2004,Active,https://www.ratebeer.com//brewers/huske-hardware-house/4647/
Hyde Brewing,Charlotte,Brewpub/Brewery,16,2017,Active,https://www.ratebeer.com//brewers/hyde-brewing/33083/
Innovation Brewing,Sylva,Microbrewery,74,2014,Active,https://www.ratebeer.com//brewers/innovation-brewing/19953/
Ironclad Brewery,Wilmington,Microbrewery,17,2015,Active,https://www.ratebeer.com//brewers/ironclad-brewery/22969/
Jordan Lake Brewing Company,Cary,Microbrewery,9,2017,Active,https://www.ratebeer.com//brewers/jordan-lake-brewing-company/30767/
Joymongers Brewing Company,Greensboro,Brewpub/Brewery,31,2016,Active,https://www.ratebeer.com//brewers/joymongers-brewing-company/28108/
Kernersville Brewing Company,Kernersville,Brewpub/Brewery,16,2016,Active,https://www.ratebeer.com//brewers/kernersville-brewing-company/26557/
Kind Beers,Charlotte,Client Brewer,6,2009,Active,https://www.ratebeer.com//brewers/kind-beers/11059/
Koi Pond Brewing Company,Rocky Mount,Microbrewery,16,2016,Active,https://www.ratebeer.com//brewers/koi-pond-brewing-company/27392/
Lake Gaston Brewing Company,Fayetteville,Microbrewery,4,2018,Active,https://www.ratebeer.com//brewers/lake-gaston-brewing-company/34279/
Lake Norman Brewing Company,Mooresville,Microbrewery,13,2014,Active,https://www.ratebeer.com//brewers/lake-norman-brewing-company/18893/
Lazy Hiker Brewing Company,Franklin,Microbrewery,33,2015,Active,https://www.ratebeer.com//brewers/lazy-hiker-brewing-company/23372/
Legion Brewing,Charlotte,Brewpub,107,2016,Active,https://www.ratebeer.com//brewers/legion-brewing/25918/
Lenny Boy Brewing Company,Charlotte,Microbrewery,61,2014,Active,https://www.ratebeer.com//brewers/lenny-boy-brewing-company/19711/
Leveneleven Brewing,Greensboro,Microbrewery,6,2018,Active,https://www.ratebeer.com//brewers/leveneleven-brewing/35131/
Lexington Avenue Brewery,Asheville,Brewpub/Brewery,62,2009,Active,https://www.ratebeer.com//brewers/lexington-avenue-brewery/11114/
Liberty Brewery & Grill - High Point,High Point,Brewpub,50,2003,Active,https://www.ratebeer.com//brewers/liberty-brewery-grill-high-point/3688/
Lincoln Brewing & Distilling Company,Raleigh,Microbrewery,16,2015,Active,https://www.ratebeer.com//brewers/lincoln-brewing-distilling-company/23238/
Little Brother Brewing,Greensboro,Brewpub/Brewery,6,2018,Active,https://www.ratebeer.com//brewers/little-brother-brewing/34190/
Little City Brewing & Provisions Company,Raleigh ,Brewpub,11,2017,Active,https://www.ratebeer.com//brewers/little-city-brewing-provisions-company/30623/
Lonerider Brewing Company,Raleigh,Microbrewery,74,2009,Active,https://www.ratebeer.com//brewers/lonerider-brewing-company/10161/
Lookout Brewing Company,Black Mountain,Microbrewery,42,2013,Active,https://www.ratebeer.com//brewers/lookout-brewing-company/16777/
Lost Colony Brewery and Café,Manteo,Brewpub/Brewery,17,2011,Active,https://www.ratebeer.com//brewers/lost-colony-brewery-and-cafe/15028/
Lost Province Brewing,Boone,Brewpub/Brewery,46,2014,Active,https://www.ratebeer.com//brewers/lost-province-brewing/21169/
Lumina Brewing Company,Wilmington,Microbrewery,11,2011,Active,https://www.ratebeer.com//brewers/lumina-brewing-company/13384/
Lynnwood Grill & Brewing Concern,Raleigh,Brewpub/Brewery,30,2014,Active,https://www.ratebeer.com//brewers/lynnwood-grill-brewing-concern/19642/
Mill Whistle Brewing,Beaufort,Microbrewery,16,2016,Active,https://www.ratebeer.com//brewers/mill-whistle-brewing/27394/
Mills River Brewery,Arden,Brewpub,5,2015,Active,https://www.ratebeer.com//brewers/mills-river-brewery/25576/
Morgan Ridge Vineyards & Brewhouse,Gold Hill,Brewpub/Brewery,28,2016,Active,https://www.ratebeer.com//brewers/morgan-ridge-vineyards-brewhouse/28195/
Mother Earth Brewing Company,Kinston,Microbrewery,34,2009,Active,https://www.ratebeer.com//brewers/mother-earth-brewing-company/10567/
Mountain Layers Brewing Company,Bryson City,Microbrewery,19,2017,Active,https://www.ratebeer.com//brewers/mountain-layers-brewing-company/31783/
Mystery Brewing,Hillsborough,Microbrewery,88,2011,Active,https://www.ratebeer.com//brewers/mystery-brewing/13357/
Nantahala Brewing Company,Bryson City,Microbrewery,48,2009,Active,https://www.ratebeer.com//brewers/nantahala-brewing-company/10997/
Natty Greene's Pub & Brewing Company,Greensboro,Brewpub/Brewery,144,2004,Active,https://www.ratebeer.com//brewers/natty-greenes-pub-brewing-company/5302/
Neuse River Brewing,Raleigh,Microbrewery,17,2015,Active,https://www.ratebeer.com//brewers/neuse-river-brewing/24456/
New Anthem Beer Project,Wilmington,Microbrewery,21,2017,Active,https://www.ratebeer.com//brewers/new-anthem-beer-project/30750/
New River Brewing,Lansing,Microbrewery,3,2017,Active,https://www.ratebeer.com//brewers/new-river-brewing/32641/
New Sarum Brewing Company,Salisbury,Microbrewery,17,2016,Active,https://www.ratebeer.com//brewers/new-sarum-brewing-company/26180/
Newgrass Brewing Company,Shelby,Microbrewery,62,2015,Active,https://www.ratebeer.com//brewers/newgrass-brewing-company/24129/
Nickelpoint Brewing Company,Raleigh,Microbrewery,16,2014,Active,https://www.ratebeer.com//brewers/nickelpoint-brewing-company/20745/
NoDa Brewing Company,Charlotte,Microbrewery,124,2011,Active,https://www.ratebeer.com//brewers/noda-brewing-company/13551/
Northern Outer Banks Brewing Company,Corolla,Microbrewery,1,2017,Active,https://www.ratebeer.com//brewers/northern-outer-banks-brewing-company/33944/
Oak & Dagger Public House,Raleigh,Brewpub/Brewery,30,2017,Active,https://www.ratebeer.com//brewers/oak-dagger-public-house/30063/
Old North State Winery,Mount Airy,Brewpub,2,2009,Active,https://www.ratebeer.com//brewers/old-north-state-winery/10875/
Olde Hickory Brewery,Hickory,Microbrewery,108,1996,Active,https://www.ratebeer.com//brewers/olde-hickory-brewery/571/
Ole Dallas Brewery,Dallas,Microbrewery,13,2017,Active,https://www.ratebeer.com//brewers/ole-dallas-brewery/30557/
One World Brewing,Asheville,Microbrewery,64,2014,Active,https://www.ratebeer.com//brewers/one-world-brewing/19770/
Open Brewing,Asheville,Brewpub/Brewery,3,2015,Active,https://www.ratebeer.com//brewers/open-brewing/21851/
Outer Banks Brewing Station,Kill Devil Hills,Brewpub,141,2001,Active,https://www.ratebeer.com//brewers/outer-banks-brewing-station/1978/
OysterHouse Brewing,Asheville,Brewpub,34,2009,Active,https://www.ratebeer.com//brewers/oysterhouse-brewing/10305/
Pig Pounder Brewery,Greensboro,Microbrewery,23,2014,Active,https://www.ratebeer.com//brewers/pig-pounder-brewery/19905/
Pisgah Brewing Company,Black Mountain,Microbrewery,81,2005,Active,https://www.ratebeer.com//brewers/pisgah-brewing-company/6001/
Ponysaurus Brewing Co.,Durham,Microbrewery,26,2013,Active,https://www.ratebeer.com//brewers/ponysaurus-brewing-co/18238/
Preyer Brewing Company,Greensboro,Microbrewery,33,2015,Active,https://www.ratebeer.com//brewers/preyer-brewing-company/23160/
Primal Brewery,Huntersville,Microbrewery,21,2014,Active,https://www.ratebeer.com//brewers/primal-brewery/21623/
Railhouse Brewery,Aberdeen,Microbrewery,9,2009,Active,https://www.ratebeer.com//brewers/railhouse-brewery/14289/
Raleigh Brewing Company,Raleigh,Microbrewery,49,2013,Active,https://www.ratebeer.com//brewers/raleigh-brewing-company/16292/
Red Hill Brewing Company,Concord,Microbrewery,14,2017,Active,https://www.ratebeer.com//brewers/red-hill-brewing-company/30297/
Red Oak Brewery,Whitsett,Microbrewery,12,2002,Active,https://www.ratebeer.com//brewers/red-oak-brewery/3190/
Regulator Brewing Company,Hillsborough,Microbrewery,10,2016,Active,https://www.ratebeer.com//brewers/regulator-brewing-company/28115/
Resident Culture Brewing Company,Charlotte,Microbrewery,41,2017,Active,https://www.ratebeer.com//brewers/resident-culture-brewing-company/32485/
Riverbend Malt House,Asheville,Client Brewer,1,2012,Active,https://www.ratebeer.com//brewers/riverbend-malt-house/14130/
Rivermen Brewing Company,Belmont,Microbrewery,17,2015,Active,https://www.ratebeer.com//brewers/rivermen-brewing-company/24128/
Rock Bottom Charlotte,Charlotte,Brewpub,29,2006,Active,https://www.ratebeer.com//brewers/rock-bottom-charlotte/8212/
Running Brewing Company,Raleigh,Microbrewery,1,2016,Active,https://www.ratebeer.com//brewers/running-brewing-company/26987/
Salud Nanobrewery,Charlotte,Microbrewery,48,2016,Active,https://www.ratebeer.com//brewers/salud-nanobrewery/27055/
Sanctuary Brewing Company,Hendersonville,Brewpub,15,2017,Active,https://www.ratebeer.com//brewers/sanctuary-brewing-company/29972/
Sapphire Mountain Brewing Company,Sapphire,Client Brewer,5,2009,Active,https://www.ratebeer.com//brewers/sapphire-mountain-brewing-company/10390/
Satulah Mountain Brewing Company,Highlands,Microbrewery,9,2015,Active,https://www.ratebeer.com//brewers/satulah-mountain-brewing-company/23415/
Seaboard Brewery,Matthews,Brewpub,3,2018,Active,https://www.ratebeer.com//brewers/seaboard-brewery/34481/
Skull Camp Brewing,Mount Airy,Microbrewery,21,2013,Active,https://www.ratebeer.com//brewers/skull-camp-brewing/17876/
Slammin' Sam Beer Company,Pinehurst,Client Brewer,1,2012,Active,https://www.ratebeer.com//brewers/slammin-sam-beer-company/14804/
Small Batch Beer Company,Winston-Salem,Brewpub/Brewery,64,2013,Active,https://www.ratebeer.com//brewers/small-batch-beer-company/17620/
Southern Appalachian Brewery,Hendersonville,Microbrewery,24,2003,Active,https://www.ratebeer.com//brewers/southern-appalachian-brewery/5320/
Southern Peak Brewery,Apex,Brewpub/Brewery,17,2016,Active,https://www.ratebeer.com//brewers/southern-peak-brewery/27060/
Southern Pines Brewing Company,Southern Pines,Microbrewery,46,2014,Active,https://www.ratebeer.com//brewers/southern-pines-brewing-company/20316/
Southern Range Brewing Company,Monroe,Microbrewery,6,2016,Active,https://www.ratebeer.com//brewers/southern-range-brewing-company/28639/
Starpoint Brewing,Carrboro,Microbrewery,24,2012,Active,https://www.ratebeer.com//brewers/starpoint-brewing/15010/
Steel String Craft Brewery,Carrboro,Brewpub/Brewery,48,2013,Active,https://www.ratebeer.com//brewers/steel-string-craft-brewery/16599/
Sub Noir Brewing Company,Raleigh,Microbrewery,14,2013,Active,https://www.ratebeer.com//brewers/sub-noir-brewing-company/16929/
Sugar Creek Brewing Company,Charlotte,Microbrewery,26,2014,Active,https://www.ratebeer.com//brewers/sugar-creek-brewing-company/20865/
Sweet Union Brewing Company,Indian Trail,Microbrewery,12,2017,Active,https://www.ratebeer.com//brewers/sweet-union-brewing-company/31038/
Sweeten Creek Brewing,Asheville ,Microbrewery,12,2015,Active,https://www.ratebeer.com//brewers/sweeten-creek-brewing/25446/
Sycamore Brewing,Charlotte,Microbrewery,66,2014,Active,https://www.ratebeer.com//brewers/sycamore-brewing/21245/
Tarboro Brewing Company,Tarboro,Microbrewery,8,2016,Active,https://www.ratebeer.com//brewers/tarboro-brewing-company/29946/
Tek Mountain Brewing,Wilmington,Microbrewery,7,2016,Active,https://www.ratebeer.com//brewers/tek-mountain-brewing/28138/
The DreamChaser's Brewery,Waxhaw,Microbrewery,28,2016,Active,https://www.ratebeer.com//brewers/the-dreamchasers-brewery/27496/
The Duck-Rabbit Craft Brewery,Farmville,Microbrewery,41,2004,Active,https://www.ratebeer.com//brewers/the-duck-rabbit-craft-brewery/5175/
The Mash House Restaurant & Brewery,Fayetteville,Brewpub,37,2e3,Active,https://www.ratebeer.com//brewers/the-mash-house-restaurant-brewery/635/
The Mason Jar Lager Company,Fuquay Varina,Microbrewery,5,2017,Active,https://www.ratebeer.com//brewers/the-mason-jar-lager-company/32882/
The Olde Mecklenburg Brewery,Charlotte,Microbrewery,26,2009,Active,https://www.ratebeer.com//brewers/the-olde-mecklenburg-brewery/10182/
The Sneak E Squirrel,Sylva,Microbrewery,15,2016,Active,https://www.ratebeer.com//brewers/the-sneak-e-squirrel/28563/
The Unknown Brewing Company,Charlotte,Microbrewery,48,2013,Active,https://www.ratebeer.com//brewers/the-unknown-brewing-company/18424/
Thirsty Monk Brewery & Pub,Asheville,Brewpub/Brewery,50,2012,Active,https://www.ratebeer.com//brewers/thirsty-monk-brewery-pub/14160/
Thirsty Nomad Brewing Company,Charlotte,Microbrewery,35,2016,Active,https://www.ratebeer.com//brewers/thirsty-nomad-brewing-company/28245/
Three Spirits Brewery,Charlotte,Microbrewery,16,2015,Active,https://www.ratebeer.com//brewers/three-spirits-brewery/25218/
Thristy Souls Community Brewing,Mount Airy,Brewpub/Brewery,10,2018,Active,https://www.ratebeer.com//brewers/thristy-souls-community-brewing/34362/
Tipping Point Tavern,Waynesville,Brewpub,21,2012,Active,https://www.ratebeer.com//brewers/tipping-point-tavern/14936/
Tobacco Road Sports Cafe,Raleigh,Brewpub,7,2017,Active,https://www.ratebeer.com//brewers/tobacco-road-sports-cafe/32136/
Top of the Hill Brewery,Chapel Hill,Brewpub,35,2003,Active,https://www.ratebeer.com//brewers/top-of-the-hill-brewery/3440/
Triple C Brewing Company,Charlotte,Microbrewery,49,2012,Active,https://www.ratebeer.com//brewers/triple-c-brewing-company/15373/
Trollingwood Taproom and Brewery,Greenville,Microbrewery,17,2016,Active,https://www.ratebeer.com//brewers/trollingwood-taproom-and-brewery/28669/
Trophy Brewing Company,Raleigh ,Brewpub,132,2013,Active,https://www.ratebeer.com//brewers/trophy-brewing-company/16191/
Twenty-Six Acres Brewing Company,Concord,Microbrewery,17,2016,Active,https://www.ratebeer.com//brewers/twenty-six-acres-brewing-company/29112/
Twin Leaf Brewery,Asheville,Microbrewery,75,2014,Active,https://www.ratebeer.com//brewers/twin-leaf-brewery/19018/
Upcountry Brewing,Asheville,Brewpub/Brewery,19,2017,Active,https://www.ratebeer.com//brewers/upcountry-brewing/29875/
Valley River Brewery & Eatery,Murphy,Brewpub,8,2017,Active,https://www.ratebeer.com//brewers/valley-river-brewery-eatery/30879/
Vicious Fishes Brewery,Angier,Microbrewery,1,2017,Active,https://www.ratebeer.com//brewers/vicious-fishes-brewery/30849/
Waterline Brewing Company,Wilmington,Microbrewery,6,2015,Active,https://www.ratebeer.com//brewers/waterline-brewing-company/25312/
Wedge Brewing Company,Asheville,Microbrewery,40,2008,Active,https://www.ratebeer.com//brewers/wedge-brewing-company/9622/
Weeping Radish Farm Brewery,Grandy,Microbrewery,27,2e3,Active,https://www.ratebeer.com//brewers/weeping-radish-farm-brewery/381/
