"pets","us_region","class_year","hair_color","campus","watch_sports","beyonce_love","fav_artist","social_network","relationship_status","num_siblings","num_languages","nights_drinking","pbj_or_n","tenting","countries_visited","first_kiss","hours_watching_television","perimeter","fav_campus_eatery","fb_visits_per_day","ac","condiment","vegetarian","voted_for_president","social_club","space_time","university_applications","pizza_consumption","sick","games_attended","pepsi_or_coke","fav_friend_character","continents_visited","game_of_thrones","netflix_binge_show","chipotle_order","fav_pokemon","first_tooth","fav_cheese","cat_or_dog","fav_late_night_food","fav_dessert_flavor","fav_off_campus_restaurant","vending_machine","multicultural","smell","parents_age","marketplace_worst_meal","best_book_turned_show","fav_fantasy_universe","hogwarts_house","shooters"
"1","Mid-Atlantic","Junior","Black","West","Basketball","hell yes","Beyonce","Facebook","no","1","2","2","Nutella","blue","9","12","4","What even is the Perimeter ","Divinity Refectory","200","No","Soy Sauce","no","no, I was eligible but chose not to vote","SLG","Outer space","1","2","5","10","Pepsi","Phoebe","4","House Targaryen","Friends","Burrito","Venusaur","2","Cheddar","Dog","Cosmic","chocolate","Chipotle","Yes","Yes","Pizza",NA,"powdered eggs","Game of Thrones","Harry Potter","Slytherin (because I'll cut you)","4"
"2","Southeast","Junior","Brown","Central","Football","hell yes","Beyonce","Facebook","no","0","1","4","Nutella","none","5","12","2",NA,"Other","7","Yes","Sriracha","no","yes","SLG","Time","2","0","0","6","No preference","Monica","3","House Targaryen","How I Met Your Mother","Burrito Bowl","Venusaur","2","None of the above","Cat","Cosmic","chocolate","Chipotle","No","Yes","Bakery","58","the giant roasted hog","Game of Thrones","Harry Potter","Slytherin (because I'll cut you)","1"
"0","Southeast","Junior","Blonde","West","Football","meh","Taylor swift","Snapchat","no","6","2","0","Some combination of two","unsure","1","18","8","What even is the Perimeter ","Divinity Refectory","3","Yes","Soy Sauce","no","yes","Independent","Time","3","2","1","4","Coke","Chandler","1","I don't know what you are talking about.","Friends","Burrito Bowl",NA,"6","Pepperjack","Dog","Pizza","chocolate","Satisfactions","Sometimes","Yes","Pine","51","the giant roasted hog","Hunger Games",NA,NA,"0"
"1","California","Sophomore","Brown","Central","Other","meh","Taylor swift","Yikyak","it's complicated","1","2","2","Nutella","none","6","16","14","What even is the Perimeter ","Divinity Refectory","0","Yes","Ketchup","yes","no, I was not eligible due to age or citizenship status","Greek life","Time","22","0","0","2","Neither they're nasty","Rachel","2","House Stark","House of Cards","Burrito Bowl","Charizard","6","None of the above","Cat","Pitchforks","vanilla","Chipotle","No","Yes","Pine","56","powdered eggs","Game of Thrones","Harry Potter","Hufflepuff (because I'm good at something)","2"
"1","Mid-Atlantic","Sophomore","Brown","West","Basketball","hell yes","Beyonce","Facebook","it's complicated","1","2","2","Nutella","none","13","12","6","What even is the Perimeter ","Edens Cafe (lol)","100","No","Soy Sauce","no","no, I was not eligible due to age or citizenship status","Greek life","Outer space","11","3","0","12","Coke","Monica","2","House Tyrell","Gilmore Girls","Burrito","Blastoise","5","Brie","Dog","Pizza","sweet-and-salty","Chipotle","No","No","Pizza","49","salad bar","Harry Potter","Harry Potter","Hufflepuff (because I'm good at something)","0"
"1","Southeast","Sophomore","Brown","West","Basketball","hell yes","Beyonce","Facebook","it's complicated","2","2","1","Some combination of two","blue","5","16","8","What even is the Perimeter ","Divinity Refectory","30","No","Maple Syrup","no","no, I was not eligible due to age or citizenship status","SLG","Outer space","4","1","0","2","Coke","Rachel","3","I don't know what you are talking about.","How I Met Your Mother","Burrito Bowl","Blastoise","6","Brie","Cat","Cookout","fruity","Parker and Otis","Sometimes","Yes","Clean Laundry","53","the giant roasted hog","Harry Potter","Harry Potter","Slytherin (because I'll cut you)","0"
"1","New England","Junior","Brown","West","Basketball","hell yes","Beyonce","Facebook","no","1","2","2","Nutella","none","5","13","3",NA,"Divinity Refectory","100","No","Soy Sauce","no","yes","SLG","Time","3","1","1","4","Coke","Phoebe","3","House Stark","House of Cards","Burrito Bowl","Jigglypuff","6","Brie","Dog","Cosmic","fruity","Chipotle","No","Yes","Clean Laundry","49.5","powdered eggs","Game of Thrones","Game of Thrones","Gryffindor (because I'm a badass)","3"
"4","Southeast","Senior","Brown","West","I don't watch sports","yes","none of these","Facebook","no","2","2","0","Some combination of two","none","2",NA,"2","What even is the Perimeter ","Divinity Refectory","2","Yes","Honey Mustard","no","yes","Independent","Outer space","15","1","2","0","No preference","Joey","4","I don't know what you are talking about.","How I Met Your Mother","Salad","Charizard","5","Goat","Dog","Pitchforks","sweet-and-salty","Parker and Otis","Shhhhh!","No","Bakery","53","watery pasta","Harry Potter","Legend of Zelda","Ravenclaw (because I'm better than you)","0"
"1","Mid-Atlantic","Sophomore","Brown","West","Basketball","hell yes","none of these","Snapchat","no","3","2","3","Nutella","black","5","16","10","What even is the Perimeter ","Other","15","Yes","Sriracha","no","no, I was not eligible due to age or citizenship status","SLG","Time","3","3","2","30","Coke","Chandler","3","House Targaryen","Friends","Burrito Bowl","Charizard","6","Goat","Dog","Pitchforks","chocolate","Chipotle","Yes","No","Bakery","49","powdered eggs","Harry Potter","Harry Potter","Gryffindor (because I'm a badass)","1"
"7","Midwest","Junior","Blonde","West","Basketball","hell yes","none of these","Facebook","it's complicated","0","2","4","Nutella","none","10","6","6","What even is the Perimeter ","Blue Express","4","Yes","Sriracha","no","yes","SLG","Outer space","4","1","0","7","Coke","Phoebe","3","House Stark","House of Cards","Burrito Bowl","Jigglypuff","8","Pepperjack","Dog","Cookout","chocolate","Chipotle","No","No","Bakery","52.5","salad bar","Harry Potter","Harry Potter","Ravenclaw (because I'm better than you)","0"
"0","Southeast","Junior","Brown","West","Basketball","hell yes","Taylor swift","Instagram","no","1","2","2","Peanut butter","blue","17","17","5","All of the Above","The Loop","30","Yes","Sriracha","no","yes","Greek life","Outer space","1",".5","3","15","Neither they're nasty","Monica","3","I don't know what you are talking about.","Gilmore Girls","Burrito Bowl","Jigglypuff","7","Feta","Dog","Cookout","chocolate","Harris Teeter's","No","No","Clean Laundry","51.5","the giant roasted hog","Harry Potter","Harry Potter","Ravenclaw (because I'm better than you)","2"
"3","Southeast","Junior","Blonde","West","Football","no","none of these","Vine","it's complicated","0","1","1","Nutella","none","8","16","4",NA,"None of the above","3","Yes","Honey Mustard","no","yes","Athletic Team","Time","1","12","1","7","Neither they're nasty","Joey","4","House Greyjoy","House of Cards","Burrito Bowl","Blastoise","9","Brie","Cat","Cosmic","sweet-and-salty","Chipotle","Yes","No","Clean Laundry","54","watery pasta","Game of Thrones","Game of Thrones","Ravenclaw (because I'm better than you)","4"
"0","New England","Sophomore","Brown","West","Other","meh","Taylor swift","Facebook","yes","0","2","0","Nutella","blue","4","19","4","What even is the Perimeter ","Other","10","Yes","Maple Syrup","no","no, I was eligible but chose not to vote","SLG","Time","2","0","2","8","No preference","Joey","3","House Targaryen","Gilmore Girls","Soft tacos","Jigglypuff","6","None of the above","Dog","Pitchforks","fruity","Harris Teeter's","Sometimes","Yes","Pine","50","watery pasta","Hunger Games","Legend of Zelda","Gryffindor (because I'm a badass)","0"
"1","Southeast","Sophomore","Brown","Central","I don't watch sports","meh","none of these","Facebook","yes","3","2","0","Jelly","none","0","15","15","What even is the Perimeter ","Divinity Refectory","20","Yes","Maple Syrup","no","no, I was not eligible due to age or citizenship status","Independent","Outer space","13","5","0","0","Neither they're nasty","Rachel","1","House Stark","Breaking Bad","Burrito Bowl","Charizard","3","None of the above","Dog","Pizza","chocolate","Cosmic","No","Yes","Clean Laundry","49","powdered eggs","Game of Thrones","Harry Potter","Ravenclaw (because I'm better than you)","0"
"0","Southwest","Junior","Black","West","I don't watch sports","no","none of these","I don't use social media","no","2","2","0","Nutella","none","3",NA,"8","What even is the Perimeter ","Blue Express","0","Yes","Ketchup","no","no, I was not eligible due to age or citizenship status","Independent","Time","7","0","0","0","Coke",NA,"3","I don't know what you are talking about.",NA,"Burrito Bowl",NA,"5","None of the above","I'm not an animal person","Pitchforks","chocolate","Chipotle","Sometimes","Yes","Clean Laundry","49","salad bar","Twilight",NA,NA,"0"
"1","Not from the US","Sophomore","Brown","West","I don't watch sports","no","none of these","Youtube","yes","1","2","2","Some combination of two","none","15","14","2","What even is the Perimeter ","The Loop","3","Yes","Maple Syrup","no","yes","SLG","Time","12","2","3","2","Coke","Joey","3","House Targaryen","Breaking Bad","Burrito","Charizard",NA,"Cheddar","Dog","Cosmic","chocolate","Cosmic","Sometimes","Yes","Pine","54","powdered eggs","Lord of the Rings/Hobbit","Lord of the Rings","Gryffindor (because I'm a badass)","0"
"1","Southeast","Sophomore","Brown","Central","Football","yes","Kendrick Lamar","Snapchat","no","2","2","5","Some combination of two","none","6","16","15","Inside","Divinity Refectory","10","Yes","Ketchup","no","yes","Greek life","Time","7","5","0","3","Coke","Chandler","3","House Targaryen","Friends","Burrito Bowl","Charizard","7","Brie","Dog","Cookout","other","Chipotle","Yes","No","Sharpie","54","watery pasta","Harry Potter","Game of Thrones","Gryffindor (because I'm a badass)","1"
"1","Pacific Northwest","Sophomore","Black","West","Other","yes","none of these","Facebook","no","1","3",".03","Nutella","blue","2",NA,"2","What even is the Perimeter ","Divinity Refectory","10","No","Maple Syrup","no","no, I was not eligible due to age or citizenship status","Independent","Time","13","0","7","10","Coke","Chandler","2","I don't know what you are talking about.","Breaking Bad","Burrito","Charizard","8","Cheddar","Dog","Cookout","chocolate","Chipotle","Shhhhh!","Yes","Bakery","51","chocolate covered crickets","Harry Potter","Legend of Zelda","Ravenclaw (because I'm better than you)","0"
"2","Southeast","Sophomore","Blonde","West","Basketball","meh","Taylor swift","Instagram","it's complicated","0","2","2","Peanut butter","blue","11","17","0","Inside","Divinity Refectory","10","No","Soy Sauce","no","no, I was not eligible due to age or citizenship status","Greek life","Time","7","1","0","10","Neither they're nasty","Joey","3","I don't know what you are talking about.","How I Met Your Mother","Burrito Bowl","Blastoise","5","Cheddar","Cat","Cookout","chocolate","Parker and Otis","No","Yes","Old Spice/Axe/Perfume","56","powdered eggs","Harry Potter","Harry Potter","Gryffindor (because I'm a badass)","1"
"2","Southeast","Junior","Brown","West","Basketball","yes","none of these","Instagram","yes","2","2","1","Nutella","none","6","13","3","What even is the Perimeter ","Edens Cafe (lol)","8","Yes","Maple Syrup","no","yes","Athletic Team","Time","8","0","2","1","Coke","Rachel","3","House Stark","House of Cards","Burrito Bowl","Jigglypuff","5","Feta","Dog","Pizza","chocolate","Chipotle","Sometimes","No","Pizza","46","powdered eggs","Game of Thrones","Game of Thrones","Gryffindor (because I'm a badass)","4"
"0","Southeast","First-year","Brown","East","Other","meh","Kendrick Lamar","Instagram","no","1","1","2","Nutella","none","6","16",NA,"What even is the Perimeter ","Divinity Refectory","5","No","Honey Mustard","no","yes","Greek life","Time","2","0","0","2","Neither they're nasty","Rachel","4","I don't know what you are talking about.","How I Met Your Mother","Burrito","Charizard",NA,"Goat","I'm not an animal person","Jimmy John's","chocolate","Parker and Otis","Sometimes","No","Pine","51","chocolate covered crickets","Harry Potter","Harry Potter","Slytherin (because I'll cut you)","4"
"2","New England","Junior","Red","West","Football","no","none of these","Facebook","it's complicated","1","1","2","Some combination of two","none","28","17","20","What even is the Perimeter ","The Loop","10","No","Ketchup","yes","yes","Greek life","Outer space","11","20","0","0","Coke","Rachel","7","House Stark","Breaking Bad","Quesadilla","Blastoise","8","None of the above","Dog","Pizza","chocolate","Harris Teeter's","Sometimes","Yes","Bakery","67","the giant roasted hog","Harry Potter","Harry Potter","Gryffindor (because I'm a badass)","1"
"4","Southwest","Junior","Brown","West","Basketball","hell yes","Beyonce","Facebook","yes","2","3","1","Nutella","none","15","16","10",NA,"The Loop","10","Yes","Soy Sauce","no","yes","Independent","Time","2","2","2","3","Neither they're nasty","Rachel","4","House Stark","How I Met Your Mother","Hard tacos","Jigglypuff","4","None of the above","Dog","Pitchforks","chocolate","Chipotle","No","Yes","Clean Laundry","40","watery pasta","Harry Potter","Lord of the Rings","Gryffindor (because I'm a badass)","2"
"0","Not from the US","Senior","Brown","Off campus","Basketball","yes","Taylor swift","Instagram","no","0","3","2","Peanut butter","none","12","10","3","What even is the Perimeter ","None of the above","3","Yes","Soy Sauce","no","yes","Greek life","Time","11","4","2","0","Coke","Chandler","3","House Stark","Friends","Burrito Bowl",NA,"6","Goat","Dog","Pizza","chocolate","Chipotle","No","Yes","Clean Laundry","56","powdered eggs","Harry Potter","Harry Potter","Gryffindor (because I'm a badass)","4"
"0","Midwest","Junior","Brown","West","Basketball","hell yes","Kanye West","Instagram","no","2","1","1","Nutella","none","4","13","5","What even is the Perimeter ","The Loop","10","Yes","Maple Syrup","no","yes","Athletic Team","Outer space","1","5","5","6","Coke","Ross","2","I don't know what you are talking about.","House of Cards","Soft tacos","Charizard","7","Cheddar","Dog","Cosmic","chocolate","Chipotle","Yes","No","Bakery","57","watery pasta","Harry Potter","Harry Potter","Ravenclaw (because I'm better than you)","2"
"0","New England","Sophomore","Brown","Central","Basketball","hell yes","Beyonce","Facebook","no","1","1","4","Peanut butter","none","4","11","4","Inside","The Loop","20","Yes","Maple Syrup","no","no, I was eligible but chose not to vote","Greek life","Time","6","30","3","3","Pepsi","Rachel","1","I don't know what you are talking about.","Friends","Hard tacos","Jigglypuff","8","Feta","Dog","Pizza","sweet-and-salty","Parker and Otis","Sometimes","No","Clean Laundry",NA,"powdered eggs","Harry Potter","Harry Potter","Gryffindor (because I'm a badass)","6"
"1","Midwest","Sophomore","Blonde","Central","Other","hell yes","Taylor swift","Snapchat","no","2","3","4","All three","none","8","5","4","Inside","None of the above","20","Yes","Ketchup","no","yes","Greek life","Time","8","10","28","3","Coke","Rachel","3","I don't know what you are talking about.","House of Cards","Burrito","Jigglypuff","4","Cheddar","Dog","Cookout","vanilla","Chipotle","Sometimes","No","Pine","53","the giant roasted hog","Harry Potter","Lord of the Rings","Gryffindor (because I'm a badass)","10"
"2","New England","Sophomore","Blonde","Central","Other","hell yes","Taylor swift","Facebook","no","3","2","2","Some combination of two","none","8","14","20","What even is the Perimeter ","Edens Cafe (lol)","30","Yes","Ketchup","no","no, I was not eligible due to age or citizenship status","Greek life","Time","10","6","2","1","Neither they're nasty","Rachel","3","House Lannister","Gilmore Girls","Burrito Bowl","Blastoise","10","Cheddar","Cat","Pizza","chocolate","Chipotle","Yes","No","Pizza","51","watery pasta","Harry Potter","Harry Potter","Ravenclaw (because I'm better than you)","6"
"0","Southeast","Sophomore","Black","West","Other","hell yes","Kendrick Lamar","Facebook","yes","2","2","1","None","black","6","14","3","What even is the Perimeter ","Other","10","Yes","Sriracha","no","no, I was not eligible due to age or citizenship status","SLG","Time","6","0","3","4","Coke","Monica","2","I don't know what you are talking about.","Breaking Bad","Burrito","Rayquaza","3","None of the above","Dog","Pitchforks","chocolate","Chipotle","No","Yes","Old Spice/Axe/Perfume","52","powdered eggs","Harry Potter","Harry Potter","Ravenclaw (because I'm better than you)","0"
"1","Southeast","Sophomore","Brown","West","Basketball","hell yes","none of these","Instagram","yes","1","2","2","Some combination of two","none","5","13","5","What even is the Perimeter ","Divinity Refectory","3","Yes","Sriracha","no","no, I was not eligible due to age or citizenship status","SLG","Time","5","3","1","7","Coke","Chandler","3","I don't know what you are talking about.","Gilmore Girls","Burrito Bowl","Charizard","7","Brie","Dog","Pitchforks","sweet-and-salty","Parker and Otis","Shhhhh!","No","Bakery","52","powdered eggs","Harry Potter","Harry Potter","Hufflepuff (because I'm good at something)","1"
"0","New England","Sophomore","Brown","Central","Basketball","hell yes","Beyonce","Facebook","no","1","1","4","Peanut butter","none","4","11","2","Inside","The Loop","20","Yes","Maple Syrup","no","no, I was eligible but chose not to vote","Greek life","Time","6","9","4","3","Pepsi","Rachel","1","I don't know what you are talking about.","Friends","Hard tacos","Jigglypuff","8","Feta","Dog","Pizza","sweet-and-salty","Parker and Otis","Sometimes","No","Clean Laundry","51","powdered eggs","Harry Potter","Harry Potter","Gryffindor (because I'm a badass)","6"
"1","Midwest","Junior","Brown","East","I don't watch sports","hell yes","none of these","Snapchat","no","2","2","0.5","Peanut butter","none","10","15","4","What even is the Perimeter ","Divinity Refectory","5","No","Honey Mustard","no","yes","Greek life","Time","14","1","0","3","Neither they're nasty","Joey","2","House Targaryen","House of Cards","Burrito Bowl","Jigglypuff","6","Goat","Cat","Cosmic","fruity","Parker and Otis","Shhhhh!","Yes","Bakery","52","chocolate covered crickets","Lord of the Rings/Hobbit","Lord of the Rings","Hufflepuff (because I'm good at something)","1"
"1","Mid-Atlantic","Sophomore","Brown","Off campus","Other","yes","none of these","Snapchat","it's complicated","2","1","3","Some combination of two","none","4","12",NA,"What even is the Perimeter ","Edens Cafe (lol)","2","Yes","Ketchup","no","yes","Athletic Team","Time","1","0","3","1","Coke","Joey","3","I don't know what you are talking about.","House of Cards","Salad","Charizard","6","Brie","Dog","Cookout","chocolate","Parker and Otis","No","No","Clean Laundry","55","chocolate covered crickets","Harry Potter","Harry Potter","Gryffindor (because I'm a badass)","11"
"0","Southeast","Sophomore","Black","East","Football","hell yes","Kendrick Lamar","Facebook","it's complicated","9","1","0","Some combination of two","none","1","10","9","What even is the Perimeter ","Edens Cafe (lol)","3","No","Honey Mustard","no","yes","Independent","Time","20","0","2","5","Coke","Joey","1","I don't know what you are talking about.","Breaking Bad","Burrito","Jigglypuff","9","Cheddar","Dog","Cookout","fruity","Cosmic","No","Yes","Bakery","40","salad bar","Hunger Games","Harry Potter","Ravenclaw (because I'm better than you)","0"
"0","Midwest","Junior","Black","West","I don't watch sports","meh","Kanye West","Yikyak","no","1","4","1","Peanut butter","none","5","18","13","What even is the Perimeter ","None of the above","3","Yes","Ketchup","no","no, I was eligible but chose not to vote","Independent","Outer space","3","8","0","0","Neither they're nasty","Chandler","3","House Martell","House of Cards","Burrito Bowl","Charizard","8","None of the above","Dog","Pitchforks","fruity","Chipotle","Sometimes","Yes","Bakery","55","chocolate covered crickets","Game of Thrones","Game of Thrones","Ravenclaw (because I'm better than you)","0"
NA,"Not from the US","Sophomore","Brown","West","Soccer","hell yes","Beyonce","Twitter","no","0","3","0","Nutella","none","4","18","4","What even is the Perimeter ","Divinity Refectory","5","Yes","Ketchup","no","no, I was not eligible due to age or citizenship status","Independent","Time","4","8","0","0","Coke","Joey","2","House Stark","How I Met Your Mother","Burrito","Charizard","6","None of the above","Dog","Pizza","vanilla","Chipotle","Shhhhh!","Yes","Bakery","55","watery pasta","Harry Potter","Harry Potter","Slytherin (because I'll cut you)","0"
"2","Southeast","Junior","Blonde","West","Basketball","hell yes","Beyonce","Instagram","no","1","2","3","Nutella","none","12","18","5","What even is the Perimeter ","Edens Cafe (lol)","5","No","Ketchup","no","yes","Greek life","Time","4","2","5","2","Coke","Rachel","2","I don't know what you are talking about.","Friends","Burrito Bowl","Jigglypuff","4","Goat","Dog","Pitchforks","chocolate","Parker and Otis","Sometimes","Yes","Clean Laundry","50.5","watery pasta","Harry Potter","Harry Potter","Ravenclaw (because I'm better than you)","5"
"1","Southeast","Junior","Black","Central","I don't watch sports","I don't care. #teamnicki","none of these","Snapchat","yes","0","2","0","Nutella","none","5","16","1","Inside","Divinity Refectory","0","Yes","Ketchup","no","yes","Greek life","Time","12","0","0","0","Coke","Rachel","2","House Targaryen","Gilmore Girls","Salad","Rayquaza","6","Pepperjack","Dog","Cookout","chocolate","Chamas","No","No","Bakery","50","chocolate covered crickets","Harry Potter","Legend of Zelda","Slytherin (because I'll cut you)","0"
"1","Mid-Atlantic","Junior","Brown","Central","Basketball","hell yes","Taylor swift","Instagram","no","2","2","1","Some combination of two","blue","17","13","1","All of the Above","Edens Cafe (lol)","5","No","Honey Mustard","no","yes","Greek life","Time","10","2","0","5","Coke","Phoebe","6","House Stark","House of Cards","Burrito Bowl","Jigglypuff","6","Brie","Dog","Pizza","chocolate","Chamas","No","No","Pizza","57","watery pasta","Harry Potter","Harry Potter","Gryffindor (because I'm a badass)","1"
"1","Southwest","Sophomore","Black","West","Basketball","I don't care. #teamnicki","none of these","Youtube","no","1","2","1","Some combination of two","unsure","20","15","5","Outside","The Loop","10","Yes","Honey Mustard","no","no, I was not eligible due to age or citizenship status","Independent","Outer space","11","1","1","0","Neither they're nasty","Chandler","5","House Targaryen","Friends","Burrito Bowl","Charizard","6","Brie","Cat","Pizza","chocolate","Chipotle","Sometimes","Yes","Bakery","50","powdered eggs","Lord of the Rings/Hobbit","Harry Potter","Ravenclaw (because I'm better than you)","1"
"1","Southeast","Junior","Blonde","West","Other","yes","none of these","Instagram","no","1","1","1","All three","none","6","16","14","What even is the Perimeter ","The Loop","15","Yes","Honey Mustard","no","yes","Independent","Time","1","1","0","3","Coke","Phoebe","3","House Targaryen","House of Cards","Burrito","Rayquaza","5","None of the above","Dog","Cookout","chocolate","Chipotle","Sometimes","Yes","Clean Laundry","59","chocolate covered crickets","Harry Potter","Harry Potter","Slytherin (because I'll cut you)","1"
"0","Southeast","Junior","Brown","West","Soccer","meh","none of these","Snapchat","no","1","3","1","Some combination of two","none","4",NA,"10","What even is the Perimeter ","Blue Express","4","Yes","Maple Syrup","yes","no, I was eligible but chose not to vote","SLG","Time","9","2","0","3","Coke","Phoebe","2","House Targaryen","House of Cards","Burrito","Rayquaza","5","Pepperjack","Dog","Pitchforks","chocolate","Chipotle","Shhhhh!","Yes","Bakery","47","watery pasta","Harry Potter","Harry Potter","Ravenclaw (because I'm better than you)","0"
"2","Southeast","Sophomore","Brown","East","Football","yes","Beyonce","Facebook","no","2","2","0","Some combination of two","white","6","16","0","Outside","The Loop","4","Yes","Honey Mustard","no","yes","SLG","Time","4","3","0","8","Coke","Rachel","1","I don't know what you are talking about.","How I Met Your Mother","Burrito Bowl","Charizard","8","Pepperjack","Dog","Pizza","vanilla","Cosmic","No","No","Pine","50","powdered eggs","Lord of the Rings/Hobbit","Lord of the Rings","Gryffindor (because I'm a badass)","0"
